TECNOLOGIA,IDADE,DATA_DE_ADESAO,LIGACOES_SUPORTE_ULTIMO_ANO,MEDIA_FATURA_MEDIA,TAXA_DE_CHURN
TELEFONE_MOVEL,48,3/1/15 12:27,4,94,0.005
4G,26,7/19/12 11:27,0,39,0.017
TELEFONE_MOVEL,51,10/6/13 11:27,0,75,0.004
TELEFONE_MOVEL,27,9/30/13 11:27,0,60,0.005
4G,55,1/3/12 12:27,0,68,0.011
4G,43,7/30/13 11:27,0,85,0.005
TELEFONE_MOVEL,44,9/29/10 11:27,0,55,0.012
4G,72,1/16/15 12:27,5,103,0.01
TELEFONE_FIXO,23,8/11/14 11:27,0,92,0.001
4G,67,8/27/14 11:27,1,74,0.007
4G,7,2/18/14 12:27,0,101,0.003
TELEFONE_MOVEL,75,4/20/12 11:27,0,106,0.004
4G,46,10/23/10 11:27,0,18,0.054
4G,67,12/5/12 12:27,3,97,0.024
FIBRA,50,5/8/14 11:27,0,41,0.01
FIBRA,20,2/28/15 12:27,2,30,0.02
4G,71,1/6/12 12:27,0,72,0.01
4G,0,4/29/14 11:27,0,88,0.003
TELEFONE_MOVEL,45,2/27/13 12:27,6,62,0.04
TELEFONE_FIXO,44,4/9/13 11:27,9,35,0.048
4G,16,12/11/15 12:27,0,42,0
4G,58,12/28/12 12:27,0,58,0.01
TELEFONE_FIXO,64,12/29/14 12:27,1,78,0.002
TELEFONE_FIXO,41,2/16/11 12:27,0,51,0.006
TELEFONE_MOVEL,10,11/4/11 12:27,2,21,0.074
TELEFONE_MOVEL,39,10/5/10 11:27,0,80,0.008
TELEFONE_MOVEL,74,10/8/13 11:27,4,93,0.015
FIBRA,29,10/21/10 11:27,3,47,0.111
TELEFONE_MOVEL,34,5/22/15 11:27,1,18,0.008
4G,71,6/3/14 11:27,0,99,0.003
TELEFONE_MOVEL,40,4/5/14 11:27,0,107,0.002
TELEFONE_FIXO,21,5/1/12 11:27,0,72,0.003
4G,1,1/31/15 12:27,3,40,0.016
4G,23,11/22/13 12:27,0,96,0.004
TELEFONE_FIXO,2,10/22/10 11:27,1,15,0.043
TELEFONE_MOVEL,31,10/12/12 11:27,0,63,0.006
TELEFONE_MOVEL,75,10/22/10 11:27,0,79,0.008
4G,45,11/28/12 12:27,4,78,0.037
TELEFONE_MOVEL,39,4/6/11 11:27,0,102,0.006
4G,46,3/28/12 11:27,5,63,0.067
FIBRA,53,5/17/15 11:27,1,68,0.004
TELEFONE_FIXO,1,8/6/14 11:27,1,10,0.017
4G,10,10/2/15 11:27,0,96,0
4G,11,2/9/13 12:27,0,96,0.006
4G,72,12/3/11 12:27,0,103,0.007
FIBRA,36,8/7/10 11:27,0,40,0.034
TELEFONE_MOVEL,30,5/23/12 11:27,0,74,0.006
4G,63,9/6/10 11:27,0,81,0.012
4G,46,11/10/13 12:27,1,14,0.057
TELEFONE_MOVEL,64,12/14/12 12:27,4,74,0.026
4G,12,5/26/14 11:27,0,58,0.005
4G,51,7/18/12 11:27,0,44,0.015
4G,32,6/23/12 11:27,0,34,0.019
TELEFONE_MOVEL,78,1/28/14 12:27,1,94,0.005
4G,38,8/24/12 11:27,1,66,0.019
4G,26,12/30/10 12:27,3,12,0.313
TELEFONE_MOVEL,53,5/16/12 11:27,3,13,0.139
4G,19,8/22/14 11:27,0,80,0.003
TELEFONE_MOVEL,37,6/19/12 11:27,0,84,0.005
4G,51,7/31/15 11:27,3,24,0.012
FIBRA,43,6/4/13 11:27,0,31,0.021
FIBRA,54,3/7/13 12:27,2,28,0.075
TELEFONE_MOVEL,28,6/17/12 11:27,0,58,0.008
TELEFONE_MOVEL,48,8/16/14 11:27,0,106,0.002
4G,69,3/22/14 12:27,0,99,0.003
4G,6,8/31/13 11:27,1,105,0.008
TELEFONE_MOVEL,20,7/11/10 11:27,1,46,0.03
TELEFONE_MOVEL,60,8/30/11 11:27,1,89,0.012
FIBRA,52,2/27/15 12:27,0,73,0.003
TELEFONE_MOVEL,9,8/30/15 11:27,2,79,0.001
4G,39,1/27/12 12:27,0,58,0.013
TELEFONE_MOVEL,62,8/1/12 11:27,2,31,0.041
4G,78,4/7/11 11:27,5,60,0.089
FIBRA,48,2/7/11 12:27,4,21,0.291
FIBRA,41,3/15/11 12:27,5,48,0.15
TELEFONE_MOVEL,15,5/14/13 11:27,6,27,0.085
FIBRA,77,4/13/14 11:27,7,78,0.043
4G,78,3/5/14 12:27,6,17,0.139
FIBRA,2,10/4/11 11:27,1,51,0.042
TELEFONE_MOVEL,12,8/9/15 11:27,3,72,0.002
TELEFONE_MOVEL,10,3/30/11 11:27,2,109,0.016
FIBRA,62,2/18/14 12:27,4,101,0.023
4G,23,4/24/12 11:27,1,54,0.026
4G,76,9/16/14 11:27,0,103,0.002
TELEFONE_FIXO,48,9/10/11 11:27,7,102,0.021
TELEFONE_MOVEL,77,9/4/12 11:27,1,27,0.031
4G,51,12/19/11 12:27,0,11,0.069
4G,30,7/22/15 11:27,0,41,0.002
4G,3,8/6/15 11:27,1,92,0.001
TELEFONE_FIXO,55,1/24/13 12:27,4,52,0.018
TELEFONE_MOVEL,63,12/3/14 12:27,1,56,0.005
TELEFONE_MOVEL,80,8/10/10 11:27,3,101,0.027
TELEFONE_FIXO,70,5/16/15 11:27,1,33,0.002
TELEFONE_FIXO,53,5/15/13 11:27,8,92,0.016
TELEFONE_MOVEL,71,7/23/11 11:27,0,26,0.021
4G,60,10/13/15 11:27,1,82,0.001
FIBRA,75,6/4/15 11:27,0,16,0.008
TELEFONE_MOVEL,77,9/26/14 11:27,7,54,0.023
TELEFONE_FIXO,24,9/18/13 11:27,0,79,0.002
4G,47,9/7/14 11:27,2,104,0.007
TELEFONE_MOVEL,14,8/5/14 11:27,7,89,0.015
TELEFONE_MOVEL,53,10/17/11 11:27,6,105,0.035
FIBRA,41,12/7/11 12:27,4,69,0.074
TELEFONE_FIXO,35,10/5/14 11:27,1,85,0.002
TELEFONE_MOVEL,67,8/18/11 11:27,10,73,0.082
TELEFONE_MOVEL,73,4/7/12 11:27,3,82,0.023
TELEFONE_MOVEL,14,5/3/12 11:27,1,54,0.017
FIBRA,57,1/4/11 12:27,0,70,0.018
4G,79,9/16/15 11:27,4,100,0.002
FIBRA,37,7/22/13 11:27,3,62,0.039
TELEFONE_FIXO,60,6/25/11 11:27,0,27,0.01
TELEFONE_MOVEL,2,4/5/12 11:27,1,40,0.023
4G,36,9/3/14 11:27,6,75,0.023
4G,72,9/1/10 11:27,0,47,0.021
TELEFONE_MOVEL,32,12/13/11 12:27,1,93,0.011
4G,40,3/14/15 12:27,0,33,0.004
TELEFONE_MOVEL,62,11/16/14 12:27,0,15,0.009
TELEFONE_FIXO,76,6/24/13 11:27,4,29,0.027
4G,36,11/18/11 12:27,2,69,0.034
TELEFONE_MOVEL,14,9/27/12 11:27,4,102,0.02
4G,1,10/15/10 11:27,7,53,0.148
4G,1,11/12/12 12:27,0,85,0.007
TELEFONE_FIXO,14,11/16/12 12:27,1,42,0.009
TELEFONE_FIXO,78,6/20/13 11:27,3,25,0.025
TELEFONE_MOVEL,59,9/4/11 11:27,1,68,0.016
TELEFONE_FIXO,42,7/30/13 11:27,8,75,0.018
TELEFONE_MOVEL,47,6/22/12 11:27,0,107,0.004
TELEFONE_MOVEL,3,10/15/15 11:27,0,41,0.001
TELEFONE_MOVEL,64,8/21/11 11:27,0,64,0.009
TELEFONE_FIXO,72,9/27/11 11:27,3,64,0.017
TELEFONE_MOVEL,73,3/29/13 12:27,0,107,0.003
TELEFONE_MOVEL,38,7/8/12 11:27,2,84,0.015
4G,59,10/20/12 11:27,1,15,0.079
4G,17,7/16/12 11:27,1,101,0.013
TELEFONE_MOVEL,44,6/12/11 11:27,8,94,0.054
TELEFONE_FIXO,51,11/25/14 12:27,1,99,0.001
4G,15,9/24/12 11:27,0,17,0.036
4G,64,6/24/10 11:27,1,108,0.019
TELEFONE_MOVEL,32,4/21/14 11:27,0,76,0.003
4G,52,6/10/15 11:27,3,20,0.019
4G,77,2/1/12 12:27,2,87,0.025
TELEFONE_FIXO,16,11/29/12 12:27,0,36,0.005
TELEFONE_MOVEL,18,9/29/14 11:27,7,52,0.023
4G,51,7/12/13 11:27,6,85,0.038
FIBRA,21,3/1/13 12:27,0,109,0.006
TELEFONE_MOVEL,47,7/16/15 11:27,0,48,0.001
TELEFONE_FIXO,76,8/28/13 11:27,0,81,0.002
TELEFONE_MOVEL,63,5/16/11 11:27,0,26,0.022
FIBRA,78,10/18/13 11:27,0,58,0.009
TELEFONE_MOVEL,60,4/16/14 11:27,8,56,0.034
4G,63,12/7/13 12:27,2,36,0.032
TELEFONE_MOVEL,2,4/5/11 11:27,1,67,0.018
FIBRA,48,5/1/12 11:27,5,37,0.148
TELEFONE_MOVEL,57,10/21/10 11:27,2,47,0.041
4G,76,3/24/15 12:27,0,61,0.002
4G,5,11/17/15 12:27,3,80,0.001
TELEFONE_FIXO,23,7/6/11 11:27,4,106,0.013
4G,29,2/4/14 12:27,1,56,0.013
4G,48,5/2/13 11:27,0,56,0.009
TELEFONE_MOVEL,44,8/14/15 11:27,0,60,0.001
TELEFONE_MOVEL,54,1/6/13 12:27,5,24,0.093
4G,24,5/1/13 11:27,4,65,0.038
TELEFONE_MOVEL,6,6/27/12 11:27,3,47,0.037
TELEFONE_MOVEL,67,8/1/11 11:27,8,58,0.086
TELEFONE_MOVEL,53,2/26/14 12:27,1,108,0.004
4G,52,4/27/14 11:27,1,81,0.008
4G,69,8/10/15 11:27,8,37,0.016
TELEFONE_MOVEL,11,3/4/13 12:27,2,96,0.011
TELEFONE_MOVEL,74,12/1/14 12:27,3,69,0.008
4G,49,11/26/13 12:27,0,57,0.007
TELEFONE_FIXO,1,1/5/15 12:27,0,60,0.001
FIBRA,73,12/17/14 12:27,0,62,0.004
TELEFONE_MOVEL,51,4/29/12 11:27,1,22,0.042
4G,34,10/8/14 11:27,1,93,0.005
4G,61,7/20/10 11:27,0,79,0.013
TELEFONE_MOVEL,47,12/11/12 12:27,0,48,0.008
4G,42,4/29/14 11:27,1,28,0.022
4G,76,1/11/15 12:27,6,20,0.061
4G,44,9/13/11 11:27,1,86,0.019
4G,64,1/7/12 12:27,7,41,0.145
4G,13,2/21/12 12:27,7,22,0.262
FIBRA,60,10/29/15 12:27,0,41,0.001
4G,14,11/30/15 12:27,0,38,0
FIBRA,8,11/27/10 12:27,4,31,0.205
TELEFONE_MOVEL,23,3/26/13 12:27,1,55,0.012
TELEFONE_MOVEL,27,9/17/10 11:27,10,38,0.191
4G,25,10/18/14 11:27,1,97,0.005
4G,8,5/25/13 11:27,6,29,0.117
4G,19,6/30/10 11:27,9,97,0.107
4G,79,1/1/14 12:27,8,36,0.092
4G,36,2/5/15 12:27,0,56,0.003
TELEFONE_FIXO,53,3/20/13 12:27,0,100,0.002
4G,32,6/1/12 11:27,5,89,0.045
TELEFONE_MOVEL,71,10/21/13 11:27,0,78,0.003
TELEFONE_FIXO,46,1/26/15 12:27,0,104,0.001
4G,43,10/1/12 11:27,0,70,0.009
TELEFONE_MOVEL,68,5/11/14 11:27,3,41,0.02
TELEFONE_MOVEL,28,7/21/10 11:27,1,77,0.018
4G,43,1/23/13 12:27,0,101,0.005
4G,14,7/24/13 11:27,1,29,0.031
TELEFONE_FIXO,58,1/15/11 12:27,6,62,0.035
TELEFONE_MOVEL,41,11/30/10 12:27,0,48,0.013
TELEFONE_MOVEL,67,5/11/11 11:27,2,78,0.022
TELEFONE_FIXO,29,12/31/13 12:27,0,75,0.002
4G,69,8/11/13 11:27,4,76,0.029
4G,15,9/13/13 11:27,10,70,0.067
4G,46,3/30/14 11:27,1,95,0.007
TELEFONE_FIXO,77,8/20/15 11:27,0,30,0.001
4G,6,12/3/11 12:27,0,37,0.021
FIBRA,28,8/2/13 11:27,0,24,0.025
TELEFONE_MOVEL,12,5/20/13 11:27,4,69,0.023
TELEFONE_MOVEL,23,8/23/12 11:27,2,28,0.045
TELEFONE_FIXO,27,9/30/12 11:27,3,106,0.008
TELEFONE_MOVEL,3,9/5/13 11:27,0,15,0.019
4G,77,1/28/15 12:27,1,48,0.007
TELEFONE_MOVEL,77,5/3/15 11:27,6,55,0.01
TELEFONE_FIXO,43,11/28/13 12:27,10,36,0.039
4G,19,11/11/11 12:27,9,86,0.09
4G,31,12/29/13 12:27,1,104,0.007
4G,63,11/13/11 12:27,3,67,0.046
4G,52,10/15/11 11:27,4,72,0.055
4G,40,5/25/12 11:27,2,90,0.022
FIBRA,2,11/5/14 12:27,0,17,0.016
FIBRA,63,7/28/14 11:27,1,83,0.008
4G,66,3/20/15 12:27,0,101,0.001
FIBRA,71,8/13/12 11:27,2,42,0.06
4G,73,2/25/13 12:27,0,54,0.01
4G,64,8/8/10 11:27,0,69,0.015
TELEFONE_MOVEL,37,8/19/11 11:27,3,72,0.03
FIBRA,3,1/27/13 12:27,0,34,0.021
FIBRA,20,4/3/14 11:27,3,65,0.026
FIBRA,43,4/17/11 11:27,1,83,0.028
TELEFONE_MOVEL,20,11/6/11 12:27,0,91,0.006
TELEFONE_MOVEL,70,4/14/15 11:27,0,17,0.005
4G,31,6/24/10 11:27,0,100,0.01
TELEFONE_MOVEL,2,3/24/14 12:27,1,41,0.011
TELEFONE_MOVEL,2,8/6/13 11:27,0,64,0.005
FIBRA,40,7/21/10 11:27,0,101,0.013
TELEFONE_MOVEL,41,8/1/13 11:27,0,88,0.003
4G,57,1/24/13 12:27,7,21,0.208
4G,49,4/8/12 11:27,0,23,0.03
4G,23,7/31/11 11:27,2,38,0.065
TELEFONE_MOVEL,46,1/10/13 12:27,2,28,0.04
TELEFONE_MOVEL,19,3/19/13 12:27,0,88,0.004
TELEFONE_MOVEL,64,6/1/14 11:27,3,52,0.015
TELEFONE_FIXO,75,10/26/10 11:27,10,60,0.059
TELEFONE_FIXO,54,6/25/15 11:27,4,27,0.006
TELEFONE_FIXO,12,8/9/10 11:27,0,33,0.01
TELEFONE_MOVEL,39,4/26/11 11:27,3,103,0.023
TELEFONE_FIXO,63,5/30/12 11:27,7,55,0.033
4G,43,9/28/10 11:27,0,39,0.025
4G,44,7/24/10 11:27,0,105,0.01
TELEFONE_FIXO,16,12/27/12 12:27,0,50,0.004
FIBRA,77,9/17/13 11:27,3,50,0.045
TELEFONE_MOVEL,63,2/24/14 12:27,4,97,0.012
TELEFONE_MOVEL,26,7/11/10 11:27,1,85,0.016
TELEFONE_MOVEL,25,1/9/13 12:27,4,96,0.019
TELEFONE_FIXO,44,8/18/10 11:27,2,57,0.018
4G,32,10/12/12 11:27,3,61,0.039
FIBRA,29,3/14/13 12:27,1,23,0.06
4G,70,1/20/11 12:27,0,45,0.021
4G,66,12/9/11 12:27,3,12,0.253
4G,28,7/5/11 11:27,1,88,0.019
FIBRA,61,10/4/11 11:27,0,109,0.01
